league,home_team,away_team,B365H,B365D,B365A,match_time,fixture_id,date
EPL,Aston Villa,Newcastle,2.35,3.5,2.9,2025-08-16T11:30:00+00:00,1378970,2025-08-16
EPL,Brighton,Fulham,1.83,3.8,4.0,2025-08-16T14:00:00+00:00,1378971,2025-08-16
EPL,Sunderland,West Ham,3.3,3.25,2.25,2025-08-16T14:00:00+00:00,1378973,2025-08-16
EPL,Tottenham,Burnley,1.5,4.33,6.5,2025-08-16T14:00:00+00:00,1378974,2025-08-16
Ligue_1,Lens,Lyon,2.35,3.6,2.88,2025-08-16T15:00:00+00:00,1387701,2025-08-16
EPL,Wolves,Manchester City,5.5,4.75,1.5,2025-08-16T16:30:00+00:00,1378975,2025-08-16
Ligue_1,Monaco,Le Havre,1.22,7.0,10.0,2025-08-16T17:00:00+00:00,1387703,2025-08-16
La_liga,Mallorca,Barcelona,6.0,5.0,1.33,2025-08-16T17:30:00+00:00,1390825,2025-08-16
Ligue_1,Nice,Toulouse,,,,2025-08-16T19:05:00+00:00,1387705,2025-08-16
La_liga,Alaves,Levante,,,,2025-08-16T19:30:00+00:00,1390819,2025-08-16
La_liga,Valencia,Real Sociedad,,,,2025-08-16T19:30:00+00:00,1390827,2025-08-16
